Lineage_A,Lineage_B,pA,pB,Expected_Recombinant_Frequency,test_start,test_end
B.1.177,B.1.1,0.26845404,0.48920613,0.26265872,2020-09-07,2020-09-13
B.1.1,B.1,0.48920613,0.2402507,0.23506423,2020-09-07,2020-09-13
B.1.177,B.1,0.26845404,0.2402507,0.12899254,2020-09-07,2020-09-13
B.1.1,other,0.48920613,0.0020891365,0.0020440367,2020-09-07,2020-09-13
B.1.177,other,0.26845404,0.0020891365,0.0011216743,2020-09-07,2020-09-13
B.1,other,0.2402507,0.0020891365,0.001003833,2020-09-07,2020-09-13
B.1.177,B.1.1,0.33506662,0.44881378,0.30076504,2020-09-14,2020-09-20
B.1.1,B.1,0.44881378,0.21514462,0.19311974,2020-09-14,2020-09-20
B.1.177,B.1,0.33506662,0.21514462,0.14417556,2020-09-14,2020-09-20
B.1.1,other,0.44881378,0.00064998375,0.00058344333,2020-09-14,2020-09-20
B.1.177,other,0.33506662,0.00064998375,0.00043557572,2020-09-14,2020-09-20
B.1.1,B.1.1.7,0.44881378,0.00032499188,0.00029172166,2020-09-14,2020-09-20
B.1,other,0.21514462,0.00064998375,0.00027968102,2020-09-14,2020-09-20
B.1.177,B.1.1.7,0.33506662,0.00032499188,0.00021778786,2020-09-14,2020-09-20
B.1,B.1.1.7,0.21514462,0.00032499188,0.00013984051,2020-09-14,2020-09-20
B.1.1.7,other,0.00032499188,0.00064998375,4.2247888e-07,2020-09-14,2020-09-20
B.1.177,B.1.1,0.38788546,0.41145374,0.31919385,2020-09-21,2020-09-27
B.1.1,B.1,0.41145374,0.20022026,0.16476275,2020-09-21,2020-09-27
B.1.177,B.1,0.38788546,0.20022026,0.15532506,2020-09-21,2020-09-27
B.1.1,B.1.1.7,0.41145374,0.00044052863,0.00036251431,2020-09-21,2020-09-27
B.1.177,B.1.1.7,0.38788546,0.00044052863,0.00034174931,2020-09-21,2020-09-27
B.1,B.1.1.7,0.20022026,0.00044052863,0.00017640552,2020-09-21,2020-09-27
B.1.1,B.1.177,0.36370778,0.43493061,0.31637529,2020-09-28,2020-10-04
B.1.177,B.1,0.43493061,0.20031422,0.17424557,2020-09-28,2020-10-04
B.1.1,B.1,0.36370778,0.20031422,0.14571168,2020-09-28,2020-10-04
B.1.177,B.1.1.7,0.43493061,0.00078554595,0.00068331596,2020-09-28,2020-10-04
B.1.1,B.1.1.7,0.36370778,0.00078554595,0.00057141835,2020-09-28,2020-10-04
B.1,B.1.1.7,0.20031422,0.00078554595,0.00031471205,2020-09-28,2020-10-04
B.1.177,other,0.43493061,0.00026184865,0.00022777199,2020-09-28,2020-10-04
B.1.1,other,0.36370778,0.00026184865,0.00019047278,2020-09-28,2020-10-04
B.1,other,0.20031422,0.00026184865,0.00010490402,2020-09-28,2020-10-04
other,B.1.1.7,0.00026184865,0.00078554595,4.113883e-07,2020-09-28,2020-10-04
B.1.177,B.1.1,0.54969157,0.27467443,0.30197244,2020-10-05,2020-10-11
B.1,B.1.177,0.17357779,0.54969157,0.1908285,2020-10-05,2020-10-11
B.1,B.1.1,0.17357779,0.27467443,0.095354764,2020-10-05,2020-10-11
B.1.177,B.1.1.7,0.54969157,0.0011994517,0.001318657,2020-10-05,2020-10-11
B.1.177,other,0.54969157,0.0008567512,0.00094189782,2020-10-05,2020-10-11
B.1.1,B.1.1.7,0.27467443,0.0011994517,0.00065891742,2020-10-05,2020-10-11
B.1.1,other,0.27467443,0.0008567512,0.0004706553,2020-10-05,2020-10-11
B.1,B.1.1.7,0.17357779,0.0011994517,0.00041639635,2020-10-05,2020-10-11
B.1,other,0.17357779,0.0008567512,0.00029742596,2020-10-05,2020-10-11
B.1.1.7,other,0.0011994517,0.0008567512,2.0552633e-06,2020-10-05,2020-10-11
B.1.1,B.1.177,0.25353735,0.5881869,0.2982547,2020-10-12,2020-10-18
B.1.177,B.1,0.5881869,0.15712405,0.18483662,2020-10-12,2020-10-18
B.1.1,B.1,0.25353735,0.15712405,0.079673632,2020-10-12,2020-10-18
B.1.177,B.1.1.7,0.5881869,0.00065811122,0.0007741848,2020-10-12,2020-10-18
B.1.177,other,0.5881869,0.00049358342,0.0005806386,2020-10-12,2020-10-18
B.1.1,B.1.1.7,0.25353735,0.00065811122,0.00033371155,2020-10-12,2020-10-18
B.1.1,other,0.25353735,0.00049358342,0.00025028366,2020-10-12,2020-10-18
B.1,B.1.1.7,0.15712405,0.00065811122,0.00020681021,2020-10-12,2020-10-18
B.1,other,0.15712405,0.00049358342,0.00015510765,2020-10-12,2020-10-18
B.1.1.7,other,0.00065811122,0.00049358342,6.4966557e-07,2020-10-12,2020-10-18
B.1.177,B.1.1,0.60494251,0.22533036,0.27262383,2020-10-19,2020-10-25
B.1.177,B.1,0.60494251,0.16166123,0.1955915,2020-10-19,2020-10-25
B.1.1,B.1,0.22533036,0.16166123,0.072854367,2020-10-19,2020-10-25
B.1.177,B.1.1.7,0.60494251,0.0073794405,0.0089282745,2020-10-19,2020-10-25
B.1.1,B.1.1.7,0.22533036,0.0073794405,0.003325624,2020-10-19,2020-10-25
B.1,B.1.1.7,0.16166123,0.0073794405,0.0023859389,2020-10-19,2020-10-25
B.1.177,other,0.60494251,0.00068645958,0.00083053717,2020-10-19,2020-10-25
B.1.1,other,0.22533036,0.00068645958,0.00030936037,2020-10-19,2020-10-25
B.1,other,0.16166123,0.00068645958,0.0002219478,2020-10-19,2020-10-25
B.1.1.7,other,0.0073794405,0.00068645958,1.0131375e-05,2020-10-19,2020-10-25
B.1.177,B.1.1,0.65835055,0.18226601,0.23998986,2020-10-26,2020-11-01
B.1.177,B.1,0.65835055,0.14619418,0.19249404,2020-10-26,2020-11-01
B.1,B.1.1,0.14619418,0.18226601,0.053292461,2020-10-26,2020-11-01
B.1.177,B.1.1.7,0.65835055,0.012553631,0.01652938,2020-10-26,2020-11-01
B.1.1,B.1.1.7,0.18226601,0.012553631,0.0045762005,2020-10-26,2020-11-01
B.1,B.1.1.7,0.14619418,0.012553631,0.0036705357,2020-10-26,2020-11-01
B.1.177,AY.4,0.65835055,0.00031781344,0.00041846531,2020-10-26,2020-11-01
B.1.177,other,0.65835055,0.00031781344,0.00041846531,2020-10-26,2020-11-01
B.1.1,other,0.18226601,0.00031781344,0.00011585318,2020-10-26,2020-11-01
B.1.1,AY.4,0.18226601,0.00031781344,0.00011585318,2020-10-26,2020-11-01
B.1,AY.4,0.14619418,0.00031781344,9.2924954e-05,2020-10-26,2020-11-01
B.1,other,0.14619418,0.00031781344,9.2924954e-05,2020-10-26,2020-11-01
B.1.1.7,other,0.012553631,0.00031781344,7.9794254e-06,2020-10-26,2020-11-01
B.1.1.7,AY.4,0.012553631,0.00031781344,7.9794254e-06,2020-10-26,2020-11-01
other,AY.4,0.00031781344,0.00031781344,2.0201077e-07,2020-10-26,2020-11-01
B.1.177,B.1.1,0.66251169,0.17575569,0.23288039,2020-11-02,2020-11-08
B.1.177,B.1,0.66251169,0.1288044,0.17066885,2020-11-02,2020-11-08
B.1.1,B.1,0.17575569,0.1288044,0.045276213,2020-11-02,2020-11-08
B.1.177,B.1.1.7,0.66251169,0.032824348,0.043493029,2020-11-02,2020-11-08
B.1.1,B.1.1.7,0.17575569,0.032824348,0.011538132,2020-11-02,2020-11-08
B.1,B.1.1.7,0.1288044,0.032824348,0.0084558412,2020-11-02,2020-11-08
B.1.177,other,0.66251169,0.00010387452,0.00013763617,2020-11-02,2020-11-08
B.1.1,other,0.17575569,0.00010387452,3.6513075e-05,2020-11-02,2020-11-08
B.1,other,0.1288044,0.00010387452,2.6758991e-05,2020-11-02,2020-11-08
B.1.1.7,other,0.032824348,0.00010387452,6.8192268e-06,2020-11-02,2020-11-08
B.1.177,B.1.1,0.66057066,0.1425699,0.18835498,2020-11-09,2020-11-15
B.1,B.1.177,0.13251628,0.66057066,0.17507273,2020-11-09,2020-11-15
B.1.177,B.1.1.7,0.66057066,0.063960169,0.084500422,2020-11-09,2020-11-15
B.1,B.1.1,0.13251628,0.1425699,0.037785664,2020-11-09,2020-11-15
B.1.1,B.1.1.7,0.1425699,0.063960169,0.018237589,2020-11-09,2020-11-15
B.1,B.1.1.7,0.13251628,0.063960169,0.016951527,2020-11-09,2020-11-15
B.1.177,AY.4,0.66057066,0.00019149751,0.00025299527,2020-11-09,2020-11-15
B.1.177,AY.5,0.66057066,9.5748755e-05,0.00012649764,2020-11-09,2020-11-15
B.1.177,other,0.66057066,9.5748755e-05,0.00012649764,2020-11-09,2020-11-15
B.1.1,AY.4,0.1425699,0.00019149751,5.4603561e-05,2020-11-09,2020-11-15
B.1,AY.4,0.13251628,0.00019149751,5.0753074e-05,2020-11-09,2020-11-15
B.1.1,other,0.1425699,9.5748755e-05,2.730178e-05,2020-11-09,2020-11-15
B.1.1,AY.5,0.1425699,9.5748755e-05,2.730178e-05,2020-11-09,2020-11-15
B.1,AY.5,0.13251628,9.5748755e-05,2.5376537e-05,2020-11-09,2020-11-15
B.1,other,0.13251628,9.5748755e-05,2.5376537e-05,2020-11-09,2020-11-15
B.1.1.7,AY.4,0.063960169,0.00019149751,2.4496426e-05,2020-11-09,2020-11-15
B.1.1.7,other,0.063960169,9.5748755e-05,1.2248213e-05,2020-11-09,2020-11-15
B.1.1.7,AY.5,0.063960169,9.5748755e-05,1.2248213e-05,2020-11-09,2020-11-15
other,AY.4,9.5748755e-05,0.00019149751,3.6671297e-08,2020-11-09,2020-11-15
AY.5,AY.4,9.5748755e-05,0.00019149751,3.6671297e-08,2020-11-09,2020-11-15
other,AY.5,9.5748755e-05,9.5748755e-05,1.8335648e-08,2020-11-09,2020-11-15
B.1.177,B.1.1,0.63892888,0.12338036,0.15766255,2020-11-16,2020-11-22
B.1.177,B.1.1.7,0.63892888,0.1200691,0.15343124,2020-11-16,2020-11-22
B.1.177,B.1,0.63892888,0.11733372,0.1499358,2020-11-16,2020-11-22
B.1.1,B.1.1.7,0.12338036,0.1200691,0.029628339,2020-11-16,2020-11-22
B.1.1,B.1,0.12338036,0.11733372,0.028953353,2020-11-16,2020-11-22
B.1,B.1.1.7,0.11733372,0.1200691,0.028176309,2020-11-16,2020-11-22
B.1.177,other,0.63892888,0.0002879355,0.00036794062,2020-11-16,2020-11-22
B.1.1,other,0.12338036,0.0002879355,7.1051174e-05,2020-11-16,2020-11-22
B.1.1.7,other,0.1200691,0.0002879355,6.9144316e-05,2020-11-16,2020-11-22
B.1,other,0.11733372,0.0002879355,6.7569086e-05,2020-11-16,2020-11-22
B.1.177,B.1.1.7,0.64637065,0.13586812,0.17564233,2020-11-23,2020-11-29
B.1.177,B.1.1,0.64637065,0.11140654,0.14401984,2020-11-23,2020-11-29
B.1.177,B.1,0.64637065,0.10582292,0.13680166,2020-11-23,2020-11-29
B.1.1,B.1.1.7,0.11140654,0.13586812,0.030273195,2020-11-23,2020-11-29
B.1,B.1.1.7,0.10582292,0.13586812,0.028755922,2020-11-23,2020-11-29
B.1,B.1.1,0.10582292,0.11140654,0.023578731,2020-11-23,2020-11-29
B.1.177,other,0.64637065,0.00053177346,0.00068744552,2020-11-23,2020-11-29
B.1.1.7,other,0.13586812,0.00053177346,0.00014450212,2020-11-23,2020-11-29
B.1.1,other,0.11140654,0.00053177346,0.00011848608,2020-11-23,2020-11-29
B.1,other,0.10582292,0.00053177346,0.00011254764,2020-11-23,2020-11-29
B.1.177,B.1.1.7,0.61170213,0.19400896,0.23735139,2020-11-30,2020-12-06
B.1.177,B.1,0.61170213,0.10274356,0.12569691,2020-11-30,2020-12-06
B.1.177,B.1.1,0.61170213,0.089865622,0.10994198,2020-11-30,2020-12-06
