Lineage_1,Lineage_2,Hamming_Distance
B.1.1,B.1.177,10
B.1,B.1.1,3
B.1,B.1.177,7
B.1.1,B.1.1.7,40
B.1.1.7,B.1.177,50
B.1,B.1.1.7,43
AY.4,B.1.177,50
AY.4,B.1.1,45
AY.4,B.1,43
AY.4,B.1.1.7,82
AY.5,B.1.177,49
AY.5,B.1.1,44
AY.5,B.1,42
AY.5,B.1.1.7,81
AY.4,AY.5,3
AY.4.2.1,B.1.1.7,90
AY.4.2.1,B.1.177,56
AY.4.2.1,B.1,51
AY.4.2.1,B.1.1,53
AY.4.2.1,AY.5,11
B.1.1.7,BA.1,91
B.1.1.7,BA.1.17.2,94
B.1.177,BA.1,96
B.1.1.7,BA.1.1,92
B.1.1.7,BA.1.15.1,96
B.1.177,BA.1.17.2,99
AY.4.2,B.1.1.7,86
B.1.1.7,BA.1.16,93
B.1.1.7,BA.2,128
B.1.177,BA.1.15.1,101
B.1.177,BA.1.1,97
B.1,BA.1,89
B.1.1,BA.1,86
B.1.177,BA.1.16,98
B.1.177,BA.2,121
AY.4.2,B.1.177,52
B.1,BA.1.17.2,92
B.1.1,BA.1.17.2,89
B.1,BA.1.15.1,94
B.1,BA.1.1,90
B.1.1,BA.1.1,87
B.1.1,BA.1.15.1,91
B.1,BA.2,114
B.1,BA.1.16,91
AY.4.2,B.1,47
B.1.1,BA.1.16,88
B.1.1,BA.2,111
AY.4.2,B.1.1,49
BA.1,BA.1.17.2,3
BA.1,BA.1.1,1
BA.1,BA.1.15.1,5
BA.1.1,BA.1.17.2,4
BA.1.15.1,BA.1.17.2,7
AY.4,BA.1,122
BA.1,BA.1.16,2
AY.4.2.1,BA.1,129
BA.1,BA.2,102
AY.4.2,BA.1,125
BA.1.1,BA.1.15.1,6
AY.4,BA.1.17.2,125
BA.1.17.2,BA.2,105
AY.4.2,BA.1.17.2,128
AY.4.2.1,BA.1.17.2,132
BA.1.16,BA.1.17.2,5
AY.4,BA.1.15.1,127
AY.4,BA.1.1,123
