lineage_alias,lineage_unaliased
*A.10,*A.10
*A.13,*A.13
*A.14,*A.14
*A.2.1,*A.2.1
*A.20,*A.20
*A.8,*A.8
*AY.115,*AY.115
*AY.12,*AY.12
*AY.39.4,*AY.39.4
*AY.75.1,*AY.75.1
*AY.89,*AY.89
*AY.9.1,*AY.9.1
*AY.96,*AY.96
*AY.97,*AY.97
*B.1.1.102,*B.1.1.102
*B.1.1.103,*B.1.1.103
*B.1.1.104,*B.1.1.104
*B.1.1.105,*B.1.1.105
*B.1.1.106,*B.1.1.106
*B.1.1.108,*B.1.1.108
*B.1.1.124,*B.1.1.124
*B.1.1.126,*B.1.1.126
*B.1.1.131,*B.1.1.131
*B.1.1.140,*B.1.1.140
*B.1.1.143,*B.1.1.143
*B.1.1.146,*B.1.1.146
*B.1.1.150,*B.1.1.150
*B.1.1.151,*B.1.1.151
*B.1.1.156,*B.1.1.156
*B.1.1.167,*B.1.1.167
*B.1.1.173,*B.1.1.173
*B.1.1.179,*B.1.1.179
*B.1.1.183,*B.1.1.183
*B.1.1.195,*B.1.1.195
*B.1.1.199,*B.1.1.199
*B.1.1.2,*B.1.1.2
*B.1.1.20,*B.1.1.20
*B.1.1.206,*B.1.1.206
*B.1.1.211,*B.1.1.211
*B.1.1.212,*B.1.1.212
*B.1.1.215,*B.1.1.215
*B.1.1.223,*B.1.1.223
*B.1.1.233,*B.1.1.233
*B.1.1.235,*B.1.1.235
*B.1.1.238,*B.1.1.238
*B.1.1.245,*B.1.1.245
*B.1.1.246,*B.1.1.246
*B.1.1.247,*B.1.1.247
*B.1.1.248,*B.1.1.248
*B.1.1.250,*B.1.1.250
*B.1.1.252,*B.1.1.252
*B.1.1.259,*B.1.1.259
*B.1.1.260,*B.1.1.260
*B.1.1.264,*B.1.1.264
*B.1.1.276,*B.1.1.276
*B.1.1.278,*B.1.1.278
*B.1.1.281,*B.1.1.281
*B.1.1.287,*B.1.1.287
*B.1.1.292,*B.1.1.292
*B.1.1.293,*B.1.1.293
*B.1.1.295,*B.1.1.295
*B.1.1.313,*B.1.1.313
*B.1.1.314,*B.1.1.314
*B.1.1.32,*B.1.1.32
*B.1.1.35,*B.1.1.35
*B.1.1.36,*B.1.1.36
*B.1.1.439,*B.1.1.439
*B.1.1.527,*B.1.1.527
*B.1.1.6,*B.1.1.6
*B.1.1.60,*B.1.1.60
*B.1.1.64,*B.1.1.64
*B.1.1.65,*B.1.1.65
*B.1.1.66,*B.1.1.66
*B.1.1.73,*B.1.1.73
*B.1.1.76,*B.1.1.76
*B.1.1.78,*B.1.1.78
*B.1.1.79,*B.1.1.79
*B.1.1.80,*B.1.1.80
*B.1.1.81,*B.1.1.81
*B.1.1.85,*B.1.1.85
*B.1.1.94,*B.1.1.94
*B.1.1.96,*B.1.1.96
*B.1.102,*B.1.102
*B.1.107,*B.1.107
*B.1.109,*B.1.109
*B.1.11,*B.1.11
*B.1.114,*B.1.114
*B.1.133,*B.1.133
*B.1.135,*B.1.135
*B.1.136,*B.1.136
