est_e,est_s,log_likelihood,log_likelihood_null,mmpp
1e-08,1.0,-14.772087564136028,-14.772087564136028,1.0
1.1670944698120775e-05,1.0,-35.7195401537486,-35.719540159457985,1.0
1.1307467688095722e-05,1.0,-28.07538754502124,-28.075387642351938,1.0
3.359821386991716e-05,1.0,-49.02022735919629,-49.0202273589885,1.0
1e-08,1.0,-44.71608994894644,-44.71608994894644,1.0
1e-08,1.0,-45.064140164801735,-45.064140164801735,1.0
2.2558994569101927e-05,1.0,-37.36630950691352,-37.36630949742676,1.0
1e-08,1.0,-37.35596339295389,-37.35596339295389,1.0
3.53276525261841e-05,1.0,-74.85033951569167,-74.85033951673489,1.0
1.13098209062053e-05,1.0,-74.96193377822208,-74.96193387553814,1.0
1e-08,1.0,-37.90812688761455,-37.90812688761455,1.0
1e-08,1.0,-26.48112714423612,-26.48112714423612,1.0
1e-08,1.0,-29.797930900067684,-29.797930900067684,1.0
1.1216464579539123e-05,1.0,-32.4590009288143,-32.45900102771971,1.0
1e-08,1.0,-32.585745972720154,-32.585745972720154,1.0
1e-08,1.0,-114.4835651368489,-114.4835651368489,1.0
1e-08,1.0,-32.39121988895912,-32.39121988895912,1.0
1e-08,1.0,-38.83096060235413,-38.83096060235413,1.0
2.402786869676998e-05,1.0,-68.84266429786635,-68.84266425762547,1.0
1.1307467688095722e-05,1.0,-28.07538754502124,-28.075387642351938,1.0
