est_e,est_s,log_likelihood,log_likelihood_null
1e-08,1.0,-18.841254638962134,-18.841254638962134
1e-08,1.0,-37.575524462244,-37.575524462244
1e-08,1.0,-40.34946587573113,-40.34946587573113
1e-08,1.0,-23.893613031370887,-23.893613031370887
1e-08,1.0,-19.9398528927976,-19.9398528927976
1e-08,1.0,-11.947266128955247,-11.947266128955247
1e-08,1.0,-49.44120007703656,-49.44120007703656
1.1277603385489577e-05,1.0,-20.200175314046202,-20.200175411888623
1.7763204873308838e-05,1.0,-60.59076683494622,-60.590766867519754
1e-08,1.0,-41.30599282995513,-41.30599282995513
1e-08,1.0,-16.352825023064607,-16.352825023064607
1e-08,1.0,-18.975730876902396,-18.975730876902396
1e-08,1.0,-33.76582032276382,-33.76582032276382
1e-08,1.0,-39.705657428721665,-39.705657428721665
1e-08,1.0,-6.499443914028298,-6.499443914028298
1e-08,1.0,-21.429712142189718,-21.429712142189718
1e-08,1.0,-25.417256659463526,-25.417256659463526
1e-08,1.0,-5.944970516721403,-5.944970516721403
1e-08,1.0,-43.606337327169214,-43.606337327169214
1e-08,1.0,-16.231116595805545,-16.231116595805545
1e-08,1.0,-63.29514801521257,-63.29514801521257
1.2268889574163997e-05,1.0,-25.58449057248536,-25.584490494907378
1e-08,1.0,-41.574275763494924,-41.574275763494924
2.607508275759511e-05,1.0,-77.35676700563435,-77.35676698411379
1e-08,1.0,-32.44105503634425,-32.44105503634425
1.1728160069076924e-05,1.0,-30.281648833495534,-30.281648839210302
1e-08,1.0,-50.1094977485008,-50.1094977485008
1e-08,1.0,-5.435410809140416,-5.435410809140416
1e-08,1.0,-31.954909049618536,-31.954909049618536
1e-08,1.0,-37.915528694517725,-37.915528694517725
1e-08,1.0,-17.092885503025844,-17.092885503025844
1e-08,1.0,-16.97815514149798,-16.97815514149798
1e-08,1.0,-45.0187398613547,-45.0187398613547
1e-08,1.0,-40.27904354814353,-40.27904354814353
1e-08,1.0,-30.844156055568888,-30.844156055568888
1e-08,1.0,-8.925082670374865,-8.925082670374865
1e-08,1.0,-16.502326165446544,-16.502326165446544
1e-08,1.0,-20.876938360080302,-20.876938360080302
1e-08,1.0,-39.08834458443844,-39.08834458443844
1e-08,1.0,-32.42066258351023,-32.42066258351023
2.0154408971015497e-05,1.0,-52.723750635857506,-52.72375059797255
2.2549441157428744e-05,1.0,-47.87053695374912,-47.87053694424826
1e-08,1.0,-37.71512035192554,-37.71512035192554
1.1350184004163194e-05,1.0,-50.07998463427155,-50.07998473085688
1e-08,1.0,-14.330570235753756,-14.330570235753756
1.2630113005676718e-05,1.0,-41.0622615237004,-41.06226150833066
1e-08,1.0,-28.426019706419016,-28.426019706419016
1e-08,1.0,-23.161941124992907,-23.161941124992907
1e-08,1.0,-8.733133668904204,-8.733133668904204
1e-08,1.0,-28.92509976342392,-28.92509976342392
1e-08,1.0,-29.3752083368822,-29.3752083368822
1e-08,1.0,-16.197856049828644,-16.197856049828644
1e-08,1.0,-29.707779955645627,-29.707779955645627
1e-08,0.9999289624583004,-14.476863296888329,-17.574843470589723
1e-08,1.0,-11.598991003034024,-11.598991003034024
1e-08,1.0,-29.367975266419908,-29.367975266419908
1e-08,1.0,-16.52104034006474,-16.52104034006474
1e-08,1.0,-8.624265473860838,-8.624265473860838
1e-08,1.0,-32.87724703213544,-32.87724703213544
1.2035310781381191e-05,1.0,-33.979566186403446,-33.979566105396216
1e-08,1.0,-13.591976300314409,-13.591976300314409
1e-08,1.0,-12.05121935485421,-12.05121935485421
1e-08,1.0,-12.279847213853792,-12.279847213853792
1e-08,1.0,-31.46435796611109,-31.46435796611109
1e-08,1.0,-7.792794772426381,-7.792794772426381
2.3909834391569194e-07,1.0,-43.88412408941738,-43.88412410672008
1.292754698065584e-05,1.0,-64.47960365660015,-64.47960365911851
1e-08,1.0,-33.4527050428795,-33.4527050428795
1e-08,1.0,-26.901205047944917,-26.901205047944917
3.361936164394852e-05,1.0,-41.213002939291435,-41.213002939122944
1e-08,1.0,-40.39100792844555,-40.39100792844555
1e-08,1.0,-10.172103086478073,-10.172103086478073
2.377467007755852e-05,1.0,-57.00618482957579,-57.00618483115493
1.1302834379977263e-05,1.0,-21.02752052376678,-21.02752052341425
1e-08,1.0,-32.87842933814272,-32.87842933814272
1e-08,1.0,-47.5964416255414,-47.5964416255414
1.1250024353313226e-05,1.0,-24.303881476326097,-24.30388157470039
1.1656504989158232e-05,1.0,-24.979075739771048,-24.979075745423003
1.4045144082493412e-05,1.0,-58.405450312676095,-58.40545038158167
1e-08,1.0,-19.791499353359743,-19.791499353359743
1.1615842827532226e-05,1.0,-38.529721842163404,-38.529721847815594
2.2560943670547897e-05,1.0,-33.553428909778006,-33.55342890030242
