est_e,est_s,log_likelihood,log_likelihood_null,mmpp
5.8072560478331e-05,1.0,-94.56182952827193,-94.56182954653691,0.9999999999999859
2.5886505182767864e-05,1.0,-69.48016338840873,-69.48016339699588,0.9999999999997741
4.295826058634744e-05,0.9999493347329083,-103.39228328207686,-114.35138865396095,0.8984176908868837
2.3723234294899243e-05,1.0,-49.25245959717463,-49.25245959887717,0.9999995479544136
3.41218150969125e-05,1.0,-101.26551736268257,-101.26551736441722,1.0
4.544895137293441e-05,1.0,-86.65425121734546,-86.654251241099,0.9999999999999684
1.2242779222025201e-05,1.0,-63.06767803130569,-63.06767795355428,0.9999999999999999
7.016984653859127e-05,1.0,-89.09078722744957,-89.09078722773867,0.9999895882311215
2.2803137322828806e-05,1.0,-71.07291686555183,-71.07291685818737,1.0
7.856988697859294e-05,1.0,-80.19491634701927,-80.19491635995561,0.9999999999999881
7.916088568492909e-05,1.0,-133.60540108624184,-133.6054010974562,1.0
7.925939761529518e-05,1.0,-95.42625735588702,-95.42625736664971,0.999999999986301
7.78908002495471e-05,1.0,-110.4569345141975,-110.45693452637767,0.9999999999973845
4.52660361659523e-05,0.9999309078874614,-87.06899994637728,-90.07372827387832,0.9171319654074412
6.564769572290977e-05,1.0,-109.85415819762783,-109.85415819767132,0.9999999992968931
8.029039620676884e-05,1.0,-128.01038067006695,-128.01038067759131,1.0
4.0816186472435864e-05,1.0,-72.32622787483486,-72.32622789309266,0.9999989555160553
4.637169619657837e-05,1.0,-87.07715508653747,-87.07715510674157,1.0
7.000828088197752e-05,1.0,-96.33314895130445,-96.33314895142668,1.0
6.932113676725328e-05,1.0,-98.79692601706444,-98.79692601729533,0.9999999999786251
7.396755083819607e-05,1.0,-113.52361152394411,-113.52361152319642,0.9999996831717454
3.624003651754254e-05,1.0,-55.944325343318,-55.94432534457643,0.9999999999999408
1.1615230779211467e-05,1.0,-34.82803598658939,-34.82803599220565,0.9999998839904705
4.894151803202116e-05,1.0,-84.81885186753199,-84.81885187452386,0.999997918295582
4.683257016538041e-05,1.0,-100.98028589232591,-100.98028591013816,0.9999999999999999
6.787768171857914e-05,1.0,-114.32321044689002,-114.32321044704896,1.0
2.24380033111404e-05,1.0,-34.511566687355085,-34.5115666766836,1.0
5.628279159208707e-05,1.0,-84.71911752719474,-84.71911754558754,1.0
8.535473827891663e-05,1.0,-113.94310804529427,-113.94310804556143,0.999999983778931
6.257675286317751e-05,1.0,-103.17747267741655,-103.17747267804178,0.999999999186752
0.00010411799549963351,1.0,-143.4360031907977,-143.43600319070532,1.0
6.0486760715642486e-05,1.0,-101.44886723284979,-101.44886723526453,0.9999999999999383
5.6759226418296665e-05,1.0,-85.31399257483262,-85.31399259378699,1.0
6.872326854586465e-05,1.0,-105.6375930346615,-105.63759303484997,1.0
