strain	date	division	Nextclade_pango
England/BRBR-3263130E/2022	2022-12-16	England	BQ.1.12
England/BRBR-3263131D/2022	2022-12-15	England	BN.1
England/BRBR-3263132C/2022	2022-12-16	England	BQ.1.1
England/BRBR-32631359/2022	2022-12-15	England	XBF
England/BRBR-32631386/2022	2022-12-15	England	BQ.1.1
England/BRBR-326313A4/2022	2022-12-15	England	BF.7.4
England/BRBR-326313B3/2022	2022-12-16	England	BF.11
England/BRBR-326313C2/2022	2022-12-15	England	BQ.1
England/BRBR-326313D1/2022	2022-12-15	England	BF.7.4
England/BRBR-326313FF/2022	2022-12-16	England	BQ.1.1
England/BRBR-3263140B/2022	2022-12-15	England	CH.1.1
England/BRBR-3263141A/2022	2022-12-14	England	BQ.1.1
England/BRBR-32631438/2022	2022-12-15	England	BA.5.3.5
England/BRBR-32631456/2022	2022-12-15	England	BQ.1.1
England/BRBR-32631465/2022	2022-12-16	England	BF.11
England/BRBR-32631474/2022	2022-12-16	England	BQ.1.1.16
England/BRBR-32631483/2022	2022-12-15	England	BQ.1.1
England/BRBR-32631492/2022	2022-12-16	England	BQ.1.1
England/BRBR-326314A1/2022	2022-12-15	England	BN.1.7
England/BRBR-326314B0/2022	2022-12-16	England	BQ.1.1
England/BRBR-326314DE/2022	2022-12-15	England	BQ.1.1
England/BRBR-326314FC/2022	2022-12-16	England	BQ.1.1.16
England/BRBR-32631517/2022	2022-12-16	England	FF.1
England/BRBR-32631526/2022	2022-12-16	England	BQ.1.1.8
England/BRBR-32631535/2022	2022-12-15	England	CH.1.1
England/BRBR-32631571/2022	2022-12-16	England	BF.7.23
England/BRBR-3263159F/2022	2022-12-16	England	BQ.1
England/BRBR-326315AE/2022	2022-12-16	England	BQ.1.1.10
England/BRBR-326315BD/2022	2022-12-15	England	CH.1.1
England/BRBR-326315EA/2022	2022-12-16	England	BQ.1.1.72
England/BRBR-326315F9/2022	2022-12-16	England	BF.7.23
England/BRBR-32631605/2022	2022-12-15	England	CH.1.1
England/BRBR-32631623/2022	2022-12-16	England	BQ.1.1.16
England/BRBR-32631632/2022	2022-12-15	England	CH.1.1
England/BRBR-32631650/2022	2022-12-16	England	BQ.1.2
England/BRBR-3263166F/2022	2022-12-15	England	CH.1.1
England/BRBR-3263168D/2022	2022-12-12	England	DV.3
England/BRBR-326316AB/2022	2022-12-16	England	BQ.1.1.16
England/BRBR-326316BA/2022	2022-12-16	England	BQ.1.2
England/BRBR-326316F6/2022	2022-12-15	England	CH.1.1
England/BRBR-32631711/2022	2022-12-16	England	BQ.1.1.16
England/BRBR-32631720/2022	2022-12-15	England	CH.1.1
England/BRBR-3263175D/2022	2022-12-15	England	BQ.1.1
England/BRBR-3263177B/2022	2022-12-15	England	XBF
England/BRBR-3263178A/2022	2022-12-16	England	BQ.1.1.16
England/BRBR-326317B7/2022	2022-12-16	England	BQ.1.1.16
England/BRBR-326317C6/2022	2022-12-16	England	EF.2
England/BRBR-326317D5/2022	2022-12-15	England	BQ.1.1.58
England/BRBR-326317E4/2022	2022-12-16	England	BQ.1.1.16
